"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","minuslogqval","Color"
"2333","ERPR / DF","P04114","P04114",1.550403104,1.550403104,1.03e-06,1.74e-06,2492,"P04114","APOB","Apolipoprotein B-100","APOB_HUMAN",183,192.8989667,2.928989667,"ERPR","DF","extracellular region,extracellular space,cytoplasm,early endosome,endoplasmic reticulum lumen,endoplasmic reticulum membrane,Golgi apparatus,cytosol,plasma membrane,endosome membrane,actin cytoskeleton,clathrin-coated endocytic vesicle membrane,endosome lumen,mature chylomicron,chylomicron remnant,very-low-density lipoprotein particle,low-density lipoprotein particle,intermediate-density lipoprotein particle,chylomicron,neuronal cell body,intracellular membrane-bounded organelle,extracellular exosome,endoplasmic reticulum exit site,endocytic vesicle lumen","protein binding,phospholipid binding,heparin binding,cholesterol transporter activity,lipase binding,low-density lipoprotein particle receptor binding","retinoid metabolic process,in utero embryonic development,triglyceride mobilization,receptor-mediated endocytosis,spermatogenesis,nervous system development,cholesterol metabolic process,fertilization,response to virus,response to carbohydrate,post-embryonic development,response to selenium ion,positive regulation of gene expression,positive regulation of macrophage derived foam cell differentiation,positive regulation of lipid storage,positive regulation of cholesterol storage,triglyceride catabolic process,cholesterol transport,flagellated sperm motility,response to lipopolysaccharide,cholesterol efflux,low-density lipoprotein particle remodeling,very-low-density lipoprotein particle assembly,low-density lipoprotein particle clearance,lipoprotein metabolic process,lipoprotein biosynthetic process,lipoprotein catabolic process,cholesterol homeostasis,lipoprotein transport,cellular protein catabolic process,regulation of cholesterol biosynthetic process,artery morphogenesis,leukocyte migration,cellular response to tumor necrosis factor,cellular response to prostaglandin stimulus",5.7594507517174,"Red"
"2334","Meta / DF","P04899","P04899",-1.413838279,1.413838279,8.87e-07,1.75e-06,322,"P04899","GNAI2","Guanine nucleotide-binding protein G(i) subunit alpha-2","GNAI2_HUMAN",27,-62.46881569,0.375311843,"Meta","DF","nucleoplasm,cytoplasm,centrosome,cytosol,heterotrimeric G-protein complex,plasma membrane,membrane,dendrite,midbody,cell body,membrane raft,extracellular exosome,extracellular vesicle","G-protein coupled receptor binding,GTPase activity,signal transducer activity,protein binding,GTP binding,G-protein beta/gamma-subunit complex binding,metal ion binding","activation of MAPKK activity,adenosine receptor signaling pathway,protein folding,cell cycle,signal transduction,G-protein coupled receptor signaling pathway,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,negative regulation of adenylate cyclase activity,G-protein coupled acetylcholine receptor signaling pathway,gamma-aminobutyric acid signaling pathway,response to nutrient,cell proliferation,positive regulation of cell proliferation,intracellular signal transduction,negative regulation of synaptic transmission,cell division,regulation of calcium ion transport",5.75696195131371,"Blue"
"2335","Meta / DF","P25786","P25786",0.757625129,0.757625129,8.91e-07,1.75e-06,392,"P25786","PSMA1","Proteasome subunit alpha type-1","PSA1_HUMAN",25,69.07052032,1.690705203,"Meta","DF","proteasome complex,nucleus,nucleoplasm,centrosome,cytosol,proteasome core complex,polysome,proteasome core complex, alpha-subunit complex,extracellular exosome","RNA binding,threonine-type endopeptidase activity,protein binding","MAPK cascade,protein polyubiquitination,stimulatory C-type lectin receptor signaling pathway,antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,regulation of cellular amino acid metabolic process,anaphase-promoting complex-dependent catabolic process,tumor necrosis factor-mediated signaling pathway,NIK/NF-kappaB signaling,Fc-epsilon receptor signaling pathway,proteasome-mediated ubiquitin-dependent protein catabolic process,regulation of mRNA stability,T cell receptor signaling pathway,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,Wnt signaling pathway, planar cell polarity pathway,negative regulation of canonical Wnt signaling pathway,positive regulation of canonical Wnt signaling pathway",5.75696195131371,"Red"
"2336","TP / DF","P15088","P15088",-1.730854796,1.730854796,7.56e-07,1.75e-06,70,"P15088","CPA3","Mast cell carboxypeptidase A","CBPA3_HUMAN",5,-69.87266004,0.3012734,"TP","DF","extracellular region,extracellular space,transport vesicle,secretory granule","metallocarboxypeptidase activity,zinc ion binding","angiotensin maturation,proteolysis",5.75696195131371,"Blue"
"2337","Meta / DF","P08294","P08294",-2.001426543,2.001426543,8.94e-07,1.75e-06,154,"P08294","SOD3","Extracellular superoxide dismutase [Cu-Zn]","SODE_HUMAN",10,-75.02470789,0.249752921,"Meta","DF","extracellular region,extracellular space,nucleus,cytoplasm,Golgi lumen,trans-Golgi network,extracellular exosome,extracellular matrix","superoxide dismutase activity,copper ion binding,protein binding,heparin binding,zinc ion binding","response to reactive oxygen species,response to hypoxia,removal of superoxide radicals,response to copper ion,oxidation-reduction process",5.75696195131371,"Blue"
"2338","TP / DF","P27918","P27918",-2.013383269,2.013383269,7.62e-07,1.77e-06,126,"P27918","CFP","Properdin","PROP_HUMAN",10,-75.23084201,0.24769158,"TP","DF","extracellular region,extracellular space,endoplasmic reticulum lumen,extracellular matrix","","immune response,complement activation,complement activation, alternative pathway,regulation of complement activation,protein O-linked fucosylation,defense response to bacterium",5.75202673363819,"Blue"
"2339","ERPR / DF","O00159","O00159",-1.905433988,1.905433988,1.04e-06,1.77e-06,854,"O00159","MYO1C","Unconventional myosin-Ic","MYO1C_HUMAN",70,-73.30639592,0.266936041,"ERPR","DF","nuclear pore,nucleoplasm,nucleolus,cytoplasm,cytosol,plasma membrane,microvillus,brush border,basal plasma membrane,membrane,cytoplasmic, membrane-bounded vesicle,lateral plasma membrane,unconventional myosin complex,filamentous actin,ruffle membrane,membrane raft,myosin I complex,stereocilium membrane,extracellular exosome,stress fiber","microfilament motor activity,actin binding,receptor binding,protein binding,calmodulin binding,ATP binding,protein C-terminus binding,Ral GTPase binding,actin-dependent ATPase activity","protein targeting,protein targeting to membrane,positive regulation of cell migration,positive regulation of actin filament polymerization,positive regulation of cell migration by vascular endothelial growth factor signaling pathway,Fc-gamma receptor signaling pathway involved in phagocytosis,positive regulation of gene expression, epigenetic,mRNA transport,positive regulation of protein targeting to membrane,positive regulation of cellular response to insulin stimulus,positive regulation of vascular endothelial growth factor signaling pathway,regulation of bicellular tight junction assembly",5.75202673363819,"Blue"
"2340","Meta / DF","Q8WYP5","Q8WYP5",-8.569626441,8.569626441,9.04e-07,1.77e-06,224,"Q8WYP5","AHCTF1","Protein ELYS","ELYS_HUMAN",31,-99.7368003,0.002631997,"Meta","DF","nucleus,nucleoplasm,cytosol,nuclear matrix,nuclear membrane,nuclear periphery,extracellular exosome,condensed chromosome kinetochore,chromatin,nuclear pore,nuclear pore outer ring","DNA binding,transcription factor activity, sequence-specific DNA binding","cytokinesis,regulation of transcription, DNA-templated,sister chromatid cohesion,protein transport,mRNA transport,nuclear pore complex assembly",5.75202673363819,"Blue"
"2341","HER2 / DF","P27797","P27797",1.8007212,1.8007212,1.19e-06,1.77e-06,784,"P27797","CALR","Calreticulin","CALR_HUMAN",51,248.3943434,3.483943434,"HER2","DF","acrosomal vesicle,extracellular region,proteinaceous extracellular matrix,extracellular space,intracellular,nucleus,cytoplasm,endoplasmic reticulum,endoplasmic reticulum lumen,smooth endoplasmic reticulum,Golgi apparatus,cytosol,polysome,focal adhesion,external side of plasma membrane,cell surface,membrane,sarcoplasmic reticulum lumen,MHC class I peptide loading complex,perinuclear region of cytoplasm,extracellular exosome,integral component of lumenal side of endoplasmic reticulum membrane,endocytic vesicle lumen","complement component C1q binding,glycoprotein binding,DNA binding,mRNA binding,integrin binding,iron ion binding,calcium ion binding,protein binding,zinc ion binding,carbohydrate binding,ubiquitin protein ligase binding,peptide binding,hormone binding,protein binding involved in protein folding,poly(A) RNA binding,androgen receptor binding,unfolded protein binding,chaperone binding","negative regulation of transcription from RNA polymerase II promoter,antigen processing and presentation of peptide antigen via MHC class I,peptide antigen assembly with MHC class I protein complex,regulation of transcription, DNA-templated,protein folding,protein export from nucleus,cellular calcium ion homeostasis,receptor-mediated endocytosis,cell cycle arrest,spermatogenesis,positive regulation of cell proliferation,positive regulation of gene expression,negative regulation of translation,protein maturation by protein folding,cortical actin cytoskeleton organization,response to estradiol,negative regulation of intracellular steroid hormone receptor signaling pathway,response to testosterone,protein localization to nucleus,protein folding in endoplasmic reticulum,ATF6-mediated unfolded protein response,regulation of meiotic nuclear division,response to drug,glucocorticoid receptor signaling pathway,regulation of apoptotic process,negative regulation of neuron differentiation,positive regulation of DNA replication,positive regulation of cell cycle,negative regulation of transcription, DNA-templated,negative regulation of retinoic acid receptor signaling pathway,positive regulation of phagocytosis,protein stabilization,sequestering of calcium ion,cardiac muscle cell differentiation,chaperone-mediated protein folding,cellular response to lithium ion,cellular senescence,positive regulation of substrate adhesion-dependent cell spreading,positive regulation of NIK/NF-kappaB signaling,positive regulation of dendritic cell chemotaxis",5.75202673363819,"Red"
"2342","TP / DF","P37108","P37108",1.185612958,1.185612958,7.74e-07,1.79e-06,168,"P37108","SRP14","Signal recognition particle 14 kDa protein","SRP14_HUMAN",11,127.4600151,2.274600151,"TP","DF","nucleus,cytoplasm,signal recognition particle, endoplasmic reticulum targeting,cytosol,extracellular exosome","RNA binding,protein binding,7S RNA binding,endoplasmic reticulum signal peptide binding,poly(A) RNA binding","cotranslational protein targeting to membrane,SRP-dependent cotranslational protein targeting to membrane,response to drug,protein targeting to ER",5.74714696902011,"Red"
"2343","TP / DF","Q9UJC5","Q9UJC5",-1.698299499,1.698299499,7.76e-07,1.79e-06,70,"Q9UJC5","SH3BGRL2","SH3 domain-binding glutamic acid-rich-like protein 2","SH3L2_HUMAN",7,-69.18508962,0.308149104,"TP","DF","nucleoplasm,extracellular exosome","SH3 domain binding","",5.74714696902011,"Blue"
"2344","HER2 / DF","P31949","P31949",1.923646816,1.923646816,1.22e-06,1.81e-06,168,"P31949","S100A11","Protein S100-A11","S10AB_HUMAN",8,279.3808389,3.793808389,"HER2","DF","ruffle,extracellular space,nucleus,cytoplasm,cell-cell adherens junction,extracellular exosome","calcium ion binding,protein homodimerization activity,S100 protein binding,calcium-dependent protein binding,cadherin binding involved in cell-cell adhesion","signal transduction,negative regulation of DNA replication,negative regulation of cell proliferation,cell-cell adhesion",5.74232142513082,"Red"
"2345","ERPR / DF","Q06210","Q06210",1.885285741,1.885285741,1.07e-06,1.81e-06,770,"Q06210","GFPT1","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1","GFPT1_HUMAN",44,269.4260858,3.694260858,"ERPR","DF","cytosol,extracellular exosome","glutamine-fructose-6-phosphate transaminase (isomerizing) activity,carbohydrate binding","carbohydrate metabolic process,fructose 6-phosphate metabolic process,UDP-N-acetylglucosamine metabolic process,UDP-N-acetylglucosamine biosynthetic process,energy reserve metabolic process,glutamine metabolic process,circadian regulation of gene expression,IRE1-mediated unfolded protein response",5.74232142513082,"Red"
"2346","TN / DF","Q02809","Q02809",1.669914491,1.669914491,1.21e-06,1.82e-06,532,"Q02809","PLOD1","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","PLOD1_HUMAN",37,218.1957333,3.181957333,"TN","DF","endoplasmic reticulum membrane,rough endoplasmic reticulum membrane,extracellular exosome","iron ion binding,procollagen-lysine 5-dioxygenase activity,L-ascorbic acid binding,protein homodimerization activity","response to hypoxia,cellular protein modification process,epidermis development,hydroxylysine biosynthetic process,oxidation-reduction process",5.73992861201492,"Red"
"2347","Meta / DF","P62888","P62888",-1.079845269,1.079845269,9.45e-07,1.85e-06,196,"P62888","RPL30","60S ribosomal protein L30","RL30_HUMAN",10,-52.69204409,0.473079559,"Meta","DF","nucleus,cytoplasm,cytosol,focal adhesion,membrane,cytosolic large ribosomal subunit,extracellular matrix,extracellular exosome","RNA binding,structural constituent of ribosome,protein binding,poly(A) RNA binding","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,rRNA processing,translation,translational initiation,SRP-dependent cotranslational protein targeting to membrane,viral transcription",5.73282827159699,"Blue"
